RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
535,15567832,145,550,0,1,40,7,114354.95,1,1,0,54018.93,0
8924,15570002,146,625,1,1,55,8,118772.71,4,0,0,135853.62,1
6247,15771442,147,633,0,0,40,4,150578.0,1,0,1,34670.62,1
7351,15713160,87,669,2,0,25,7,157228.61,2,1,0,124382.9,0
2960,15673619,93,530,0,0,25,9,162560.32,1,1,0,64129.03,0
5177,15723105,148,756,0,1,28,6,0.0,1,1,1,164394.65,0
861,15807663,149,667,0,0,43,8,190227.46,1,1,0,97508.04,1
3628,15609475,150,604,2,1,39,7,98544.11,1,1,1,52327.57,0
6400,15738501,151,601,1,0,48,9,163630.76,1,0,1,41816.49,1
5242,15581526,152,574,0,0,41,1,0.0,2,0,0,70550.0,0
3732,15568573,153,554,1,1,51,7,105701.91,1,0,1,179797.79,1
2245,15756305,154,515,0,1,66,6,0.0,2,1,1,160663.11,0
7927,15732644,155,567,2,1,54,5,92316.31,2,1,0,158590.66,1
4200,15587596,156,628,2,1,39,8,107553.33,1,1,0,117523.41,0
1334,15734942,157,539,1,1,38,8,82407.51,1,1,0,13123.41,0
6663,15614054,158,665,0,0,36,1,0.0,2,0,1,121505.61,0
2861,15705890,159,674,0,0,45,7,142072.02,1,1,0,37013.29,0
9665,15595036,160,726,1,0,30,7,92847.59,1,1,0,146154.06,0
7930,15598892,161,828,0,0,30,4,73070.18,2,0,0,161671.15,0
7707,15742369,162,667,2,0,31,5,0.0,2,1,1,20346.69,0
5034,15690743,163,536,0,1,61,8,65190.29,1,1,1,64308.49,1
8257,15768574,164,671,2,0,58,1,178713.98,1,1,1,21768.21,0
4335,15754649,165,705,2,1,57,3,0.0,2,1,1,34134.14,0
9850,15776211,166,678,0,1,34,6,0.0,2,1,1,124592.84,0
4177,15579808,167,754,1,1,39,8,129401.87,1,1,1,87684.93,0
4316,15763980,168,632,1,0,30,1,58668.02,1,1,1,78670.52,0
1998,15624781,169,672,0,1,34,1,142151.75,2,1,1,168753.34,0
7857,15598521,170,580,1,1,33,7,131647.01,2,0,0,79775.19,0
4309,15611699,171,641,0,1,40,7,0.0,1,1,0,126996.67,0
9802,15578878,172,569,2,1,30,3,139528.23,1,1,1,33230.37,0
5379,15720968,64,606,1,0,27,2,130274.26,2,1,0,147533.09,0
1911,15811261,173,617,2,0,42,0,70105.87,1,1,1,120830.73,0
9029,15695299,174,590,0,1,45,2,81828.22,1,1,0,52167.97,0
1516,15602497,175,850,2,0,39,6,133214.13,1,0,1,20769.88,0
8852,15590828,176,782,1,0,42,7,126428.38,1,1,0,39830.1,0
3593,15628886,177,677,2,0,56,5,123959.97,1,1,1,60590.72,1
3165,15721592,178,665,0,1,38,5,0.0,2,1,0,156439.56,0
6421,15718039,179,606,1,1,47,0,137138.2,2,0,1,53784.22,0
1182,15624428,180,651,1,1,24,7,40224.7,1,1,1,178341.33,0
1883,15707114,181,831,0,0,30,2,0.0,2,0,1,3430.38,0
1364,15789095,182,775,2,0,30,4,0.0,2,0,1,57461.13,0
4479,15622443,183,549,0,0,31,4,0.0,2,0,1,25684.85,0
6436,15754874,184,700,0,0,26,4,119009.57,1,1,0,141926.43,0
5546,15806709,185,609,1,0,33,6,94126.67,1,0,0,93718.16,0
5418,15662245,186,588,0,0,32,1,0.0,2,1,1,8763.87,0
1032,15667521,94,631,0,1,22,3,0.0,2,0,0,30781.77,0
9958,15672237,187,633,0,0,25,1,0.0,1,1,0,100598.98,0
3158,15815236,107,574,2,0,34,5,0.0,2,0,0,28269.86,0
5512,15714970,188,667,1,0,32,0,103846.65,1,1,0,20560.69,0
1906,15566843,189,535,1,0,20,9,134874.4,1,1,1,118825.56,0
5252,15743759,190,619,0,0,39,5,0.0,2,1,1,158444.61,0
1174,15808182,168,478,2,1,36,3,92363.3,2,1,0,44912.7,0
9042,15724336,191,513,1,1,49,5,171601.27,1,1,0,126223.84,0
6926,15618363,192,659,1,0,29,9,82916.48,1,1,1,84133.48,0
2074,15573309,193,626,2,1,48,2,0.0,2,1,1,95794.98,0
6014,15609899,194,548,2,0,37,4,0.0,1,1,0,121763.68,0
8348,15757759,195,807,2,1,28,7,165969.26,3,1,0,156122.13,1
4830,15692599,196,687,0,0,34,5,128270.56,1,1,0,191092.62,0
5731,15577683,197,539,0,1,29,4,0.0,2,1,1,100919.19,0
6656,15703763,198,554,0,0,44,7,85304.27,1,1,1,58076.52,0
63,15702014,199,555,2,0,33,1,56084.69,2,0,0,178798.13,0
261,15713853,200,732,1,0,42,9,108748.08,2,1,1,65323.11,0
8384,15593501,153,493,0,1,36,5,148667.81,2,1,0,56092.51,0
699,15669516,201,746,2,0,36,2,0.0,2,1,1,16436.56,0
6877,15680421,202,591,0,1,42,10,0.0,2,0,0,171099.22,0
3584,15773221,203,577,2,0,43,8,79757.21,1,1,0,135650.72,1
9771,15659327,204,520,0,0,49,5,121197.64,1,1,0,72577.33,1
1214,15624229,205,694,0,1,22,4,0.0,2,1,1,11525.72,0
8625,15773639,206,745,1,0,35,4,98270.34,1,1,0,133617.43,0
9096,15718839,207,850,1,1,38,2,102741.15,2,0,1,23974.85,0
78,15662085,208,678,0,1,32,9,0.0,1,1,1,148210.64,0
7581,15781975,209,708,0,0,34,3,0.0,1,0,1,121457.88,1
8252,15751032,210,629,1,1,37,1,35549.81,2,0,0,49676.33,0
1658,15752342,211,704,1,1,54,6,133656.91,3,1,0,145071.33,1
2194,15764409,212,613,0,0,37,9,108286.5,1,1,1,114153.44,0
905,15794580,213,599,0,0,58,4,0.0,1,0,0,176407.15,1
4185,15635141,214,598,1,0,59,8,118210.42,2,0,0,60192.14,1
3418,15815530,39,612,0,1,42,10,75497.51,1,0,0,149682.78,0
71,15703793,215,738,1,0,58,2,133745.44,4,1,0,28373.86,1
7623,15796413,216,794,0,0,46,6,0.0,2,1,0,195325.74,0
364,15745088,217,443,1,1,29,9,99027.61,2,1,0,10940.4,0
6566,15789936,218,663,0,1,33,2,0.0,2,1,0,153295.0,0
329,15669064,219,671,1,0,35,1,144848.74,1,1,1,179012.3,0
2670,15693947,220,614,0,1,19,5,97445.49,2,1,0,122823.34,0
3699,15717935,221,589,0,1,21,3,0.0,2,0,1,55601.44,0
8891,15788723,222,599,1,1,49,10,143888.22,2,1,1,166236.38,1
4878,15573971,223,737,0,0,44,7,0.0,2,0,0,57898.58,0
3599,15632079,224,720,1,1,37,8,156282.79,1,1,0,45985.52,0
4392,15742404,149,718,0,0,38,7,0.0,2,1,0,38308.34,0
7395,15673747,225,519,0,1,22,8,0.0,1,0,1,167553.06,0
2308,15732020,226,610,1,0,57,6,106938.11,2,0,1,186612.47,0
5992,15723737,227,680,0,0,27,3,0.0,1,1,0,32454.26,0
6043,15685872,228,727,0,1,29,1,146652.01,1,1,1,173486.39,0
2636,15688637,229,592,0,1,27,4,0.0,2,1,1,183569.25,0
3896,15664734,218,673,1,1,25,3,108244.82,2,1,1,103573.96,0
1428,15799966,230,792,1,1,59,9,101609.77,1,0,0,161479.19,1
7,15592531,231,822,0,0,50,7,0.0,2,1,1,10062.8,0
8823,15673929,39,543,0,0,64,4,0.0,2,1,1,148305.82,0
3501,15675675,232,850,0,1,32,5,106290.64,1,1,0,121982.73,0
2614,15665221,233,630,0,0,26,7,129837.72,2,0,1,197001.15,0
8069,15797710,234,619,1,0,29,4,98955.87,1,0,1,131712.51,0
7337,15801072,235,654,0,1,28,7,0.0,2,1,0,151316.37,0
5355,15795738,236,789,0,0,31,4,175477.15,1,1,1,172832.9,0
9724,15612832,49,526,0,0,32,7,125540.05,1,0,0,86786.41,0
3416,15710689,237,578,2,0,40,6,63609.92,1,0,0,74965.61,1
8946,15616745,238,542,2,0,35,2,174894.53,1,1,1,22314.55,0
4590,15611961,239,615,0,0,35,7,0.0,2,1,0,150784.29,0
4998,15613886,240,722,2,0,43,1,0.0,1,1,0,44560.17,1
4119,15782311,16,529,0,0,28,9,0.0,2,1,1,52545.24,0
6843,15797787,241,614,0,0,36,1,118311.76,1,1,0,146134.68,0
173,15651022,242,480,1,0,44,10,129608.57,1,1,0,5472.7,1
6520,15571869,243,669,1,1,50,4,112650.89,1,0,0,166386.22,1
5913,15715414,82,658,0,1,38,6,102895.1,1,0,0,155665.76,0
5478,15802390,244,724,0,1,34,2,0.0,2,1,1,118863.38,0
6475,15626143,245,695,0,0,37,2,0.0,2,1,1,99692.65,0
9679,15718064,246,635,2,0,29,2,0.0,2,0,0,117173.8,0
6336,15740428,247,507,0,1,35,1,0.0,2,0,0,92131.54,0
4096,15616929,248,730,2,0,62,5,112181.08,1,0,1,61513.87,0
5119,15572051,4,721,0,0,40,3,0.0,1,1,1,144874.67,0
9535,15795488,168,773,2,0,52,2,0.0,2,1,0,57337.79,0
9521,15673180,249,727,1,1,18,2,93816.7,2,1,0,126172.11,0
7250,15745804,250,628,0,0,25,7,0.0,2,1,1,195977.75,0
1793,15746451,251,686,2,0,41,7,102749.72,1,0,1,194913.86,0
7716,15582129,252,517,0,0,62,1,43772.66,3,1,0,187756.24,1
7213,15638989,253,711,0,1,25,5,190066.54,1,0,0,51345.39,1
195,15679200,94,580,2,0,29,9,61710.44,2,1,0,128077.8,0
4477,15723028,254,778,0,0,33,1,0.0,2,1,0,85439.73,0
6944,15603741,255,719,2,0,40,4,128389.12,1,1,1,176091.31,0
7687,15675450,256,718,0,0,48,9,0.0,2,1,1,72105.63,0
3187,15649668,257,637,1,1,36,10,145750.45,2,1,1,96660.76,0
5283,15744622,258,822,0,0,32,8,116358.0,1,1,0,108798.36,0
1613,15649121,259,665,0,0,52,3,0.0,1,1,0,116137.01,1
2383,15693259,260,676,0,0,30,1,128207.23,1,1,1,55400.17,0
6684,15710316,165,454,2,1,48,5,144837.79,1,1,1,93151.77,0
1601,15748718,261,517,0,0,28,2,115062.61,1,1,0,179056.23,0
4045,15607142,262,658,0,0,32,8,0.0,1,1,1,80410.68,0
7770,15757473,263,766,0,1,27,7,158786.67,2,0,1,47579.25,0
6996,15696826,264,633,0,1,32,1,104001.38,1,0,1,36642.65,0
2697,15792176,265,698,2,1,40,0,92053.44,1,1,1,143681.83,0
9889,15697606,266,637,0,1,21,10,125712.2,1,0,0,175072.47,0
7066,15568162,267,527,2,0,53,8,0.0,1,1,1,51711.57,0
6890,15651020,268,473,0,1,25,6,110666.42,2,0,0,46758.42,0
4491,15792646,9,647,2,1,64,1,91216.0,1,1,1,41800.18,0
2560,15650670,144,567,1,1,40,2,105222.86,2,1,0,93795.86,0
396,15807432,34,645,1,1,37,2,136925.09,2,0,1,153400.24,0
5381,15768219,267,850,2,0,36,0,0.0,2,1,0,141242.57,0
596,15680970,269,611,1,1,41,2,114206.84,1,1,0,164061.6,0
9639,15662337,270,744,1,1,50,1,121498.11,2,0,1,106061.47,1
5986,15702145,271,705,2,0,33,7,68423.89,1,1,1,64872.55,0
9475,15631481,272,673,0,0,51,8,79563.36,2,1,1,172200.91,0
6568,15593425,273,662,2,1,54,1,187997.15,1,0,0,111442.71,1
2993,15786993,274,810,0,1,51,5,0.0,2,0,1,184524.74,0
3872,15662091,275,570,2,0,21,7,116099.82,1,1,1,148087.62,0
761,15583212,276,600,0,1,43,5,134022.06,1,1,0,194764.83,0
7007,15660390,277,544,0,1,33,6,0.0,2,1,1,124113.04,0
6648,15691627,278,713,0,1,37,8,0.0,1,1,1,16403.41,0
1001,15691111,279,648,1,1,42,8,121980.56,2,1,0,4027.02,0
4533,15739194,111,548,2,0,38,0,178056.54,2,1,0,38434.73,0
5008,15784761,280,554,2,1,46,7,87603.35,3,0,1,96929.24,1
730,15612525,113,499,0,1,57,1,0.0,1,0,0,131372.38,1
3194,15725794,281,659,0,1,49,1,0.0,1,1,0,116249.72,1
4718,15580487,282,627,1,0,38,8,106922.92,2,0,1,84270.09,0
3224,15695679,283,776,2,0,39,2,104349.45,1,0,0,79503.05,0
5126,15656086,284,542,2,0,54,8,105770.14,1,0,1,140929.98,1
1293,15636589,285,794,0,1,41,7,0.0,2,1,1,74275.08,0
6905,15627185,286,744,1,0,29,6,123737.04,2,1,0,141558.04,0
1082,15699911,287,461,2,1,35,8,0.0,1,1,0,132295.95,0
7251,15631451,66,604,2,1,28,6,0.0,2,1,1,69056.26,0
8577,15722599,288,751,0,1,37,9,183613.66,2,0,0,49734.94,0
1702,15605279,289,792,0,0,50,9,0.0,4,1,1,194700.81,1
8028,15769412,290,684,2,0,39,4,207034.96,2,0,0,157694.76,1
3555,15662865,291,658,2,0,36,1,0.0,2,0,1,84927.42,0
5318,15791114,292,700,0,0,37,1,135179.49,1,1,0,160670.37,0
4825,15799357,293,727,0,0,35,5,136364.46,1,0,0,142754.71,0
8089,15815656,294,541,1,1,39,9,100116.67,1,1,1,199808.1,1
3703,15698335,38,504,0,1,73,8,0.0,1,1,1,34595.58,0
1051,15623828,295,682,0,0,30,4,0.0,1,0,1,161465.31,0
704,15566292,296,574,2,0,36,1,0.0,2,0,1,71709.12,0
9988,15588839,297,606,2,0,30,8,180307.73,2,1,1,1914.41,0
1939,15594902,269,518,0,0,38,3,90957.81,1,0,1,162304.59,0
418,15695632,298,556,0,1,39,9,89588.35,1,1,1,94898.1,0
1268,15781586,299,837,1,0,38,2,126732.85,1,1,1,79577.38,0
4762,15717706,300,799,0,1,32,3,106045.92,2,1,1,17938.0,0
2794,15624793,301,627,1,0,23,5,184244.86,1,1,0,103099.22,0
5764,15700965,302,724,0,1,32,6,0.0,2,1,1,150026.79,0
4684,15694890,303,588,0,0,38,1,124271.26,1,1,0,75969.19,0
8969,15572428,304,717,1,1,33,0,115777.23,1,1,1,81508.1,0
5598,15815552,179,670,0,1,42,6,112333.63,1,1,1,65706.86,0
3715,15815428,305,823,0,0,34,3,105057.33,1,1,0,9217.92,0
3723,15807961,306,619,0,0,25,4,0.0,1,1,0,145524.36,0
2779,15761141,307,604,2,1,71,10,0.0,2,1,1,129984.2,0
7852,15651581,308,758,1,0,68,6,112595.85,1,1,0,35865.44,1
4361,15801934,309,678,0,0,66,8,0.0,2,1,1,47117.03,0
8434,15658233,310,724,0,1,41,5,109798.25,1,0,1,149593.61,0
4456,15782531,19,684,2,1,31,8,0.0,2,1,0,188637.05,0
4712,15758831,311,754,0,0,39,3,74896.33,1,0,0,34430.16,0
471,15759298,145,631,2,0,27,10,134169.62,1,1,1,176730.02,0
4432,15783629,312,616,1,1,42,6,117899.95,2,0,0,150266.81,0
4757,15778005,313,785,0,1,39,1,130147.98,1,1,0,163798.41,1
4596,15782360,314,743,1,0,65,2,131935.51,1,1,1,96399.67,1
5234,15591286,315,731,1,1,49,4,88826.07,1,1,1,33759.41,1
5725,15784286,316,641,2,0,40,5,102145.13,1,1,1,100637.07,0
4822,15655875,317,511,0,1,33,3,0.0,2,1,0,132436.71,0
2701,15786200,318,564,0,0,31,4,0.0,2,1,0,53520.03,0
4691,15681990,319,497,1,0,24,6,111769.14,2,1,0,55859.27,0
3202,15637593,320,722,0,0,20,6,0.0,2,1,0,195486.28,0
1555,15779481,321,628,0,0,34,4,158741.43,2,1,1,126192.54,0
3696,15757628,322,571,0,0,40,10,112896.86,1,1,1,121402.53,0
5713,15572038,323,660,1,0,35,9,113948.58,1,1,0,188891.96,1
6070,15810775,324,576,2,0,52,2,100549.43,2,1,1,16644.16,0
73,15812518,101,657,2,1,37,0,163607.18,1,0,1,44203.55,0
6195,15794273,325,604,0,1,56,0,62732.65,1,0,1,124954.56,0
3589,15571958,326,489,2,0,40,3,221532.8,1,1,0,171867.08,0
5065,15671243,327,558,0,1,47,9,0.0,2,1,0,103787.28,0
272,15619955,328,733,1,0,34,3,100337.96,3,1,0,48559.19,1
9928,15759915,329,814,0,1,31,6,87772.52,1,1,0,188516.45,0
5702,15724154,330,625,1,1,49,4,128504.76,1,1,0,126812.63,1
1890,15716324,331,665,0,1,23,9,143672.9,1,1,1,115147.33,0
7678,15711977,332,695,0,0,36,4,161533.0,1,1,0,100940.91,0
7085,15571415,333,805,1,0,56,6,151802.29,1,1,0,46791.09,1
7357,15683993,334,493,0,1,37,8,142987.46,2,1,0,158840.99,0
5515,15773283,335,641,0,0,65,6,38340.02,1,1,0,32607.77,1
5965,15802220,336,599,2,0,35,6,137102.65,1,0,0,76870.81,0
